make,model,year,five_year_maintenance,eight_year_maintenance,five_year_depreciation,eight_year_depreciation,five_year_fuel,msrp_lower,msrp_upper,predicted_reliability
toyota,prius c,2016,1500,,9750,,3250,21000,27000,5
toyota,Rav-4,2016,1400,,15250,,5750,25240,37750,5
toyota,Rav-4 hybrid,2016,1500,,15000,,4500,25240,37750,5
toyota ,camry hybrid xle,2016,1500,,14750,,3750,24655,36070,
toyota,camry fwd sedan,2016,1400,,14500,,5000,24655,36070,
nissan ,rogue,2016,1800,,18750,,5750,25000,35500,
honda,crv,2016,1500,3000,16500,,5750,26290,37090,
honda,fit,2016,1300,2750,10500,13750,4250,14800,22900,
honda,Hr-v,2016,1300,2750,12500,15750,4750,20790,30090,
honda,civic,2016,1200,2750,11000,14000,4500,16155,27155,3
volkswagen,tiguan,2016,2300,5000,23350,28750,7250,25000,37000,1
volkswagen,golf sportwagon,2016,2100,4500,14250,18500,4000,22750,25500,1
volkswagen,golf,2016,1800,4250,15250,19000,5000,19000,33400,1
nissan ,sentra,2016,1400,3000,14000,16750,4750,15900,26000,1
